# de-DE
"Symbol","Keystrokes"
"TAB","TAB"
"RETURN","RETURN"
"SPACE","SPACE"
"!","SHIFT+OEM_1"
"""","SHIFT+TWO"
"#","OEM_2"
"$","SHIFT+FOUR"
"%","SHIFT+FIVE"
"&","SHIFT+SIX"
"'","SHIFT+OEM_2"
"(","SHIFT+EIGHT"
")","SHIFT+NINE"
"*","SHIFT+OEM_PLUS"
"+","OEM_PLUS"
",","OEM_COMMA"
"-","OEM_MINUS"
".","OEM_PERIOD"
"/","SHIFT+SEVEN"
"0","ZERO"
"1","ONE"
"2","TWO"
"3","THREE"
"4","FOUR"
"5","FIVE"
"6","SIX"
"7","SEVEN"
"8","EIGHT"
"9","NINE"
":","SHIFT+OEM_PERIOD"
";","SHIFT+OEM_COMMA"
"<","OEM_102"
"=","SHIFT+ZERO"
">","SHIFT+OEM_102"
"?","SHIFT+OEM_4"
"@","RMENU+Q"
"A","SHIFT+A"
"B","SHIFT+B"
"C","SHIFT+C"
"D","SHIFT+D"
"E","SHIFT+E"
"F","SHIFT+F"
"G","SHIFT+G"
"H","SHIFT+H"
"I","SHIFT+I"
"J","SHIFT+J"
"K","SHIFT+K"
"L","SHIFT+L"
"M","SHIFT+M"
"N","SHIFT+N"
"O","SHIFT+O"
"P","SHIFT+P"
"Q","SHIFT+Q"
"R","SHIFT+R"
"S","SHIFT+S"
"T","SHIFT+T"
"U","SHIFT+U"
"V","SHIFT+V"
"W","SHIFT+W"
"X","SHIFT+X"
"Y","SHIFT+Y"
"Z","SHIFT+Z"
"[","RMENU+EIGHT"
"\","RMENU+OEM_4"
"]","RMENU+NINE"
"^","OEM_5+SPACE"
"_","SHIFT+OEM_MINUS"
"`","SHIFT+OEM_6+SPACE"
"a","A"
"b","B"
"c","C"
"d","D"
"e","E"
"f","F"
"g","G"
"h","H"
"i","I"
"j","J"
"k","K"
"l","L"
"m","M"
"n","N"
"o","O"
"p","P"
"q","Q"
"r","R"
"s","S"
"t","T"
"u","U"
"v","V"
"w","W"
"x","X"
"y","Y"
"z","Z"
"{","RMENU+SEVEN"
"|","RMENU+OEM_102"
"}","RMENU+ZERO"
"~","RMENU+OEM_PLUS"
"§","SHIFT+THREE"
"°","SHIFT+OEM_5"
"²","RMENU+TWO"
"³","RMENU+THREE"
"´","OEM_6+SPACE"
"µ","RMENU+M"
"À","SHIFT+OEM_6+SHIFT+A"
"Ä","SHIFT+OEM_7"
"È","SHIFT+OEM_6+SHIFT+E"
"É","OEM_6+SHIFT+E"
"Ö","SHIFT+OEM_3"
"Ü","SHIFT+OEM_1"
"ß","OEM_4"
"à","SHIFT+OEM_6+A"
"ä","OEM_7"
"è","SHIFT+OEM_6+E"
"é","OEM_6+E"
"ö","OEM_3"
"ü","OEM_1"
"ẞ","SHIFT+RMENU+OEM_4"
"€","RMENU+E"
