# en-US
"Symbol","Keystrokes"
"TAB","TAB"
"RETURN","RETURN"
"SPACE","SPACE"
"!","SHIFT+ONE"
"""","SHIFT+OEM_7"
"#","SHIFT+THREE"
"$","SHIFT+FOUR"
"%","SHIFT+FIVE"
"&","SHIFT+SEVEN"
"'","OEM_7"
"(","SHIFT+NINE"
")","SHIFT+ZERO"
"*","SHIFT+EIGHT"
"+","SHIFT+OEM_PLUS"
",","OEM_COMMA"
"-","OEM_MINUS"
".","OEM_PERIOD"
"/","OEM_2"
"0","ZERO"
"1","ONE"
"2","TWO"
"3","THREE"
"4","FOUR"
"5","FIVE"
"6","SIX"
"7","SEVEN"
"8","EIGHT"
"9","NINE"
":","SHIFT+OEM_2"
";","OEM_1"
"<","SHIFT+OEM_COMMA"
"=","OEM_PLUS"
">","SHIFT+OEM_PERIOD"
"?","SHIFT+OEM_2"
"@","SHIFT+TWO"
"A","SHIFT+A"
"B","SHIFT+B"
"C","SHIFT+C"
"D","SHIFT+D"
"E","SHIFT+E"
"F","SHIFT+F"
"G","SHIFT+G"
"H","SHIFT+H"
"I","SHIFT+I"
"J","SHIFT+J"
"K","SHIFT+K"
"L","SHIFT+L"
"M","SHIFT+M"
"N","SHIFT+N"
"O","SHIFT+O"
"P","SHIFT+P"
"Q","SHIFT+Q"
"R","SHIFT+R"
"S","SHIFT+S"
"T","SHIFT+T"
"U","SHIFT+U"
"V","SHIFT+V"
"W","SHIFT+W"
"X","SHIFT+X"
"Y","SHIFT+Y"
"Z","SHIFT+Z"
"[","OEM_4"
"\","OEM_5"
"]","OEM_6"
"^","SHIFT+SIX"
"_","SHIFT+OEM_MINUS"
"`","OEM_3"
"a","A"
"b","B"
"c","C"
"d","D"
"e","E"
"f","F"
"g","G"
"h","H"
"i","I"
"j","J"
"k","K"
"l","L"
"m","M"
"n","N"
"o","O"
"p","P"
"q","Q"
"r","R"
"s","S"
"t","T"
"u","U"
"v","V"
"w","W"
"x","X"
"y","Y"
"z","Z"
"{","SHIFT+OEM_4"
"|","SHIFT+OEM_5"
"}","SHIFT+OEM_6"
"~","SHIFT+OEM_3"
