# fr-FR AZERTY
"Symbol","Keystrokes"
"TAB","TAB"
"RETURN","RETURN"
"SPACE","SPACE"
"!","SHIFT+OEM_3"
"!","SHIFT+OEM_COMMA"
"""","SHIFT+TWO"
"#","RMENU+THREE"
"$","RMENU+D"
"%","RMENU+P"
"&","SHIFT+SIX"
"'","OEM_7"
"(","SHIFT+EIGHT"
")","SHIFT+NINE"
"*","OEM_5"
"+","OEM_PLUS"
",","OEM_COMMA"
"-","OEM_MINUS"
".","OEM_PERIOD"
"/","OEM_4"
"0","SHIFT+ZERO"
"1","SHIFT+ONE"
"2","SHIFT+TWO"
"3","SHIFT+THREE"
"4","SHIFT+FOUR"
"5","SHIFT+FIVE"
"6","SHIFT+SIX"
"7","SHIFT+SEVEN"
"8","SHIFT+EIGHT"
"9","SHIFT+NINE"
":","OEM_2"
";","OEM_1"
"<","OEM_102"
"=","SHIFT+OEM_1"
">","SHIFT+OEM_102"
"?","SHIFT+OEM_PERIOD"
"@","OEM_3"
"A","SHIFT+A"
"B","SHIFT+B"
"C","SHIFT+C"
"D","SHIFT+D"
"E","SHIFT+E"
"F","SHIFT+F"
"G","SHIFT+G"
"H","SHIFT+H"
"I","SHIFT+I"
"J","SHIFT+J"
"K","SHIFT+K"
"L","SHIFT+L"
"M","SHIFT+M"
"N","SHIFT+N"
"O","SHIFT+O"
"P","SHIFT+P"
"Q","SHIFT+Q"
"R","SHIFT+R"
"S","SHIFT+S"
"T","SHIFT+T"
"U","SHIFT+U"
"V","SHIFT+V"
"W","SHIFT+W"
"X","SHIFT+X"
"Y","SHIFT+Y"
"Z","SHIFT+Z"
"[","RMENU+FIVE"
"\","SHIFT+OEM_4"
"]","RMENU+SIX"
"^","OEM_6+SPACE"
"_","RMENU+EIGHT"
"`","RMENU+THREE+SPACE"
"a","A"
"b","B"
"c","C"
"d","D"
"e","E"
"f","F"
"g","G"
"h","H"
"i","I"
"j","J"
"k","K"
"l","L"
"m","M"
"n","N"
"o","O"
"p","P"
"q","Q"
"r","R"
"s","S"
"t","T"
"u","U"
"v","V"
"w","W"
"x","X"
"y","Y"
"z","Z"
"{","RMENU+T"
"|","RMENU+L"
"}","RMENU+Y"
"~","RMENU+N+SPACE"
"¡","RMENU+OEM_COMMA"
"£","RMENU+Z"
"¤","RMENU+F+SPACE"
"§","RMENU+ONE"
"¨","SHIFT+OEM_6+SPACE"
"©","RMENU+X"
"«","NINE"
"®","RMENU+R"
"¯","RMENU+SEVEN+SPACE"
"°","RMENU+OEM_7"
"±","SHIFT+OEM_PLUS"
"´","RMENU+TWO+SPACE"
"µ","RMENU+G+SPACE"
"·","RMENU+OEM_2"
"¸","RMENU+V+SPACE"
"»","ZERO"
"¼","SHIFT+RMENU+OEM_5"
"½","SHIFT+OEM_5"
"¿","RMENU+OEM_PERIOD"
"À","SHIFT+RMENU+ONE"
"Ä","SHIFT+OEM_6+SHIFT+A"
"Æ","SHIFT+RMENU+A"
"Ç","SHIFT+RMENU+C"
"È","SHIFT+RMENU+THREE"
"É","SHIFT+RMENU+TWO"
"Ê","SHIFT+RMENU+FOUR"
"Ö","SHIFT+OEM_6+SHIFT+O"
"×","RMENU+OEM_5"
"Ù","SHIFT+RMENU+U"
"Ü","SHIFT+OEM_6+SHIFT+U"
"ß","RMENU+S"
"à","ONE"
"ä","SHIFT+OEM_6+A"
"æ","RMENU+A"
"ç","RMENU+C"
"è","THREE"
"é","TWO"
"ê","FOUR"
"ö","SHIFT+OEM_6+O"
"÷","RMENU+OEM_4"
"ù","RMENU+U"
"ü","SHIFT+OEM_6+U"
"Œ","SHIFT+RMENU+O"
"œ","RMENU+O"
"ſ","RMENU+H+S"
"Ʒ","SHIFT+RMENU+W"
"ʒ","RMENU+W"
"ˇ","RMENU+OEM_6+SPACE"
"ˍ","SHIFT+RMENU+H+SPACE"
"˘","RMENU+OEM_3+SPACE"
"˙","RMENU+I+SPACE"
"˚","SHIFT+RMENU+OEM_7+SPACE"
"˛","SHIFT+RMENU+V+SPACE"
"˝","SHIFT+RMENU+FIVE+SPACE"
"˵","SHIFT+RMENU+SIX+SPACE"
"θ","RMENU+Q"
"ϴ","SHIFT+RMENU+Q"
"ẞ","SHIFT+RMENU+S"
"—","SHIFT+RMENU+EIGHT"
"‘","SEVEN"
"’","EIGHT"
"“","RMENU+NINE"
"”","RMENU+ZERO"
"†","RMENU+OEM_PLUS"
"‡","SHIFT+RMENU+OEM_PLUS"
"…","SHIFT+OEM_2"
"‰","SHIFT+RMENU+P"
"‹","SHIFT+RMENU+NINE"
"›","SHIFT+RMENU+ZERO"
"€","RMENU+E"
"™","SHIFT+RMENU+T"
"√","SHIFT+RMENU+OEM_4"
"∞","RMENU+M"
"≃","RMENU+OEM_1"
"≠","SHIFT+RMENU+OEM_1"
"⩽","RMENU+OEM_102"
"⩾","SHIFT+RMENU+FIVE"
